,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,2.1797990798950195,0.13385701179504395,0.11412489414215088,0.009666085243225098,5,2,20,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 20}",0.8449172618163063,0.8537636476481026,0.8493404547322045,0.004423192915898155,17,0.8454854585347518,0.8552059931641564,0.850345725849454,0.0048602673147022935
1,4.5352513790130615,0.0006656646728515625,0.23484301567077637,0.0008757114410400391,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8560714004737886,0.851394704406584,0.8537330524401863,0.0023383480336022777,15,0.8564997333846167,0.8518842277332448,0.8541919805589308,0.0023077528256859603
2,1.8681089878082275,0.050888776779174805,0.10738348960876465,0.002364635467529297,5,3,20,"{'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 20}",0.8527758595068052,0.8452319553834454,0.8490039074451253,0.0037719520616799063,18,0.8533353147372745,0.8476358645768682,0.8504855896570713,0.002849725080203147
3,6.948126554489136,0.788576602935791,0.3977445363998413,0.0964425802230835,5,3,50,"{'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 50}",0.8608442529087301,0.8582567724678095,0.8595505126882699,0.0012937402204603043,13,0.861989387833597,0.8594193903686286,0.8607043891011128,0.0012849987324842216
4,2.272055983543396,0.08516204357147217,0.11708700656890869,0.007378935813903809,5,6,20,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 20}",0.8515170852382492,0.8532216753935855,0.8523693803159174,0.0008522950776681526,16,0.8521027649326468,0.8542444294867872,0.853173597209717,0.0010708322770702217
5,4.490429162979126,0.07568693161010742,0.23167848587036133,0.005212545394897461,5,6,50,"{'max_depth': 5, 'min_samples_split': 6, 'n_estimators': 50}",0.8570941545669903,0.8527758595068052,0.8549350070368977,0.0021591475300925533,14,0.8579945278285269,0.8545591230539262,0.8562768254412265,0.001717702387300346
6,2.4237306118011475,0.009343624114990234,0.14162707328796387,0.01131296157836914,7,2,20,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 20}",0.8699616248677849,0.8703724748026609,0.870167049835223,0.00020542496743797267,11,0.8724092415010883,0.8735456349379791,0.8729774382195337,0.0005681967184453796
7,7.711413621902466,1.1645395755767822,0.5254149436950684,0.2261030673980713,7,2,50,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 50}",0.8720508404940689,0.8725141393568013,0.8722824899254351,0.00023164943136622096,8,0.8746208379590373,0.8754337963408131,0.8750273171499252,0.0004064791908878762
8,2.8759474754333496,0.16439437866210938,0.139274001121521,0.001045823097229004,7,3,20,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 20}",0.8636327875731007,0.8696644142765981,0.8666486009248494,0.0030158133517487196,12,0.8660279552785475,0.8729424722676294,0.8694852137730884,0.0034572584945409823
9,7.532864093780518,0.40445899963378906,0.30695652961730957,0.006524324417114258,7,3,50,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 50}",0.8734582200582183,0.8713952288958626,0.8724267244770405,0.0010314955811778215,7,0.8756610750281913,0.8737903966013095,0.8747257358147504,0.0009353392134409111
10,2.6701704263687134,0.17881667613983154,0.1356639862060547,0.0014259815216064453,7,6,20,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 20}",0.8699528833798089,0.8706347194419434,0.8702938014108761,0.00034091803106722773,10,0.8720945479339494,0.8727326765562033,0.8724136122450763,0.00031906431112699307
11,6.898348569869995,0.33759164810180664,0.3221548795700073,0.016706109046936035,7,6,50,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 50}",0.8727151935802512,0.8710980183046758,0.8719066059424635,0.0008085876377876833,9,0.875626109076287,0.8737466891614291,0.874686399118858,0.0009397099574289802
12,3.532997965812683,0.060655951499938965,0.18833088874816895,0.003726959228515625,10,2,20,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 20}",0.89735744818483,0.8975147949683995,0.8974361215766147,7.867339178474486e-05,4,0.9051373724835442,0.9049275767721181,0.9050324746278311,0.00010489785571304866
13,8.582733631134033,0.0031664371490478516,0.43300795555114746,0.0055048465728759766,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8977682981197059,0.8984851001337447,0.8981266991267254,0.00035840100701939326,3,0.9049712842119986,0.9050586990917594,0.905014991651879,4.370743988041381e-05
14,3.6530704498291016,0.07373738288879395,0.18696308135986328,1.9073486328125e-05,10,3,20,"{'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 20}",0.8979955768070841,0.8964920408751977,0.897243808841141,0.0007517679659431731,5,0.9050936650436637,0.9027159803141691,0.9039048226789164,0.0011888423647473112
15,8.700408697128296,0.008171558380126953,0.42289483547210693,0.002200007438659668,10,3,50,"{'max_depth': 10, 'min_samples_split': 3, 'n_estimators': 50}",0.8989658819724293,0.8981441821026775,0.8985550320375535,0.00041084993487588983,2,0.9056356372981809,0.9051898214114007,0.9054127293547908,0.00022290794339008269
16,3.51421582698822,0.051159024238586426,0.185011625289917,0.008957624435424805,10,6,20,"{'max_depth': 10, 'min_samples_split': 6, 'n_estimators': 20}",0.8979868353191081,0.8928992893170276,0.8954430623180678,0.0025437730010402504,6,0.9051810799234246,0.8996214935706356,0.9024012867470301,0.002779793176394485
17,9.226686000823975,0.3637969493865967,0.4290539026260376,0.001938939094543457,10,6,50,"{'max_depth': 10, 'min_samples_split': 6, 'n_estimators': 50}",0.8984151682299361,0.8991232287559988,0.8987691984929674,0.00035403026303137963,1,0.9050412161158072,0.9060115212811525,0.9055263686984798,0.00048515258267262107
